snapshot_ts,expiry_ts,strike,cp,bid,ask,mid,iv_mid,oi,volume
2026-07-06T09:15:00.000Z,2026-07-09T15:30:00.000Z,24100,CE,245.5,247.5,246.5,0.125,12000,45000
2026-07-06T09:15:00.000Z,2026-07-09T15:30:00.000Z,24100,PE,25.0,26.0,25.5,0.145,35000,120000
2026-07-06T09:15:00.000Z,2026-07-09T15:30:00.000Z,24200,CE,165.0,167.0,166.0,0.122,18000,78000
2026-07-06T09:15:00.000Z,2026-07-09T15:30:00.000Z,24200,PE,44.5,45.5,45.0,0.141,45000,185000
2026-07-06T09:15:00.000Z,2026-07-09T15:30:00.000Z,24300,CE,102.5,103.5,103.0,0.118,25000,110000
2026-07-06T09:15:00.000Z,2026-07-09T15:30:00.000Z,24300,PE,78.5,79.5,79.0,0.138,55000,220000
2026-07-06T09:15:00.000Z,2026-07-09T15:30:00.000Z,24400,CE,56.0,57.0,56.5,0.115,38000,145000
2026-07-06T09:15:00.000Z,2026-07-09T15:30:00.000Z,24400,PE,132.5,134.5,133.5,0.134,22000,95000
2026-07-06T09:15:00.000Z,2026-07-09T15:30:00.000Z,24500,CE,25.5,26.5,26.0,0.112,50000,210000
2026-07-06T09:15:00.000Z,2026-07-09T15:30:00.000Z,24500,PE,201.5,203.5,202.5,0.130,12000,38000
